"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MFG_PART";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"PROD_ID";"SF_ID";"SPICEPREFIX";"VALUE";
"4";"";"1,6/0,8";"1,6/0,8";"PAD1, PAD2, PAD3, PAD4";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";
"1";"";"CONN_02JST-PTH-2-KIT";"JST-2-PTH-KIT";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_02LOCK";"1X02_LOCK";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_04LOCK";"1X04_LOCK";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"CONN-09696";"";"";"";
"2";"";"SMD2";"SMD1,27-2,54";"PAD5, PAD6";"SMD PAD";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";
"4";"0.1uF";"0.1UF-0402-6.3V-10%-X7R";"0402";"C1, C2, C3, C7";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"";"0.1uF";
"1";"0k";"10KOHM-0402-1/16W-1%";"0402";"R2";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-14241";"";"";"10k";
"3";"1.0uF";"1.0UF-0402-16V-10%";"0402";"C4, C5, C6";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"1";"1.575GHz";"ANTENNAGPS-2X7MM";"ANT-GPS-2X7MM";"U$2";"Single-ended Antennae";"";"";"";"";"";"";"";"";"";"";"ANT-09087";"GPS-09131";"";"1.575GHz";
"4";"10k";"10KOHM-0402-1/16W-1%";"0402";"R1, R5, R6, R7";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-14241";"";"";"10k";
"2";"220uF";"CPOL-EUSMCC";"SMC_C";"C8, C12";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"4";"";"";"C";"";
"3";"4.7uF";"1.0UF-0402-16V-10%";"0402";"C9, C10, C11";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"1";"DRF1278F_2LESS_PINS";"DRF1278F_2LESS_PINS";"DRF1278F_2_LESS_PINS";"U$3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ESP32-CAM";"ESP32-CAM";"ESP32CAM";"IC1";"Modules PCBA Module RoHS";"";"";"Modules PCBA Module RoHS";"5mm";"Ai-Thinker";"ESP32-CAM";"";"";"";"";"";"";"";"";
"3";"FERRITE_BEAD-120_OHM-0402";"FERRITE_BEAD-120_OHM-0402";"0402";"FB3, FBRX, FBTX";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"BLM15HB121SN1D";"";"";"";"NDUC-14206";"";"";"";
"1";"HX4002";"CE021SOT-23";"SOT23-6";"U1";"CE021";"";"";"";"";"";"";"";"";"";"";"";"";"";"HX4002";
"5";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"JP1, JP2, JP6, JP9, JP10";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"ESP32, GPS, LORA";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAX-M8";"MAX-M8";"MAX-M8";"U$1";"u-blox MAX GNSS module";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP170333MB";"MCP170333MB";"SOT89";"IC2";"250 mA, 16V, Low Quiescent Current LDO Regulator";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"1";"SMA_EDGE";"SMA_EDGE";"SMA-EDGE";"J$1";"SMA Antenna Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
